Year,Trial,Date,Week,Days.after.deployment,Observer,Reef,Treatment,Density,Goby.ID,Nearest.TOL,Starting.location,Starting.position,Total.time.exposed,proportion.exposed,Total.time.hidden,proportion.hidden,num.movement.swims,Distance.moved.review.this.column,corrected.distance.moved,num.bites,num.times.chased,num.times.chaser,area.used.cm
2017,3,8/21/2017,1,5,GJ,3,Medium,8,M26,4,rock,exposed,300,1,0,0,9,100,100,5,0,1,150
2017,3,8/21/2017,1,5,GJ,3,Medium,8,F20,1 and 5,rock,exposed,40,0.13,260,0.87,2,50,50,0,0,0,80
2017,3,8/21/2017,1,5,GJ,3,Medium,8,F30,4,rock,exposed,300,1,0,0,6,100,100,0,0,0,375
2017,3,8/21/2017,1,5,GJ,4,High,8,F22,4,rock,hidden,0,0,300,1,3,75,75,2,1,0,100
2017,3,8/21/2017,1,5,GJ,4,High,8,F25,3,rock,hidden,0,0,300,1,2,20,20,0,0,0,50
2017,3,8/21/2017,1,5,GJ,4,High,8,F?28,1,rock,exposed,158,0.53,142,0.47,4,175,175,0,0,1,150
2017,3,8/21/2017,1,5,GJ,5,Medium,9,F26,5,rock,hidden,0,0,300,1,4,75,75,1,0,1,100
2017,3,8/21/2017,1,5,GJ,5,Medium,9,F29,5,rock,exposed,108,0.36,192,0.64,5,200,200,0,0,0,200
2017,3,8/21/2017,1,5,GJ,5,Medium,9,F26,5,rock,exposed,38,0.13,262,0.87,3,100,100,0,0,0,100
2017,3,8/21/2017,1,5,GJ,6,Low,8,F24,2,rock,exposed,200,0.67,100,0.33,8,350,350,4,2,2,300
2017,3,8/21/2017,1,5,GJ,6,Low,8,M28,3,rock,exposed,88,0.29,212,0.71,10,200,200,1,0,1,250
2017,3,8/21/2017,1,5,GJ,6,Low,8,F29,2,rock,exposed,241,0.8,59,0.2,2,125,125,0,0,0,100
2017,3,8/18/2017,1,3,GJ,7,Medium,16,F30,2,rock,exposed,300,1,0,0,8,150,150,9,0,0,100
2017,3,8/18/2017,1,3,GJ,7,Medium,16,F31,1 and 4,rock,exposed,300,1,0,0,8,400,400,7,0,1,300
2017,3,8/18/2017,1,3,GJ,7,Medium,16,F27,3,rock,exposed,300,1,0,0,8,120,120,5,0,0,100
2017,3,8/18/2017,1,3,GJ,8,High,8,F29,1,rock,exposed,300,1,0,0,8,150,150,17,0,0,150
2017,3,8/18/2017,1,3,GJ,8,High,8,F23,5,rock,exposed,250,0.83,50,0.17,6,180,180,10,0,0,80
2017,3,8/18/2017,1,3,GJ,8,High,8,F28,5,rock,exposed,300,1,0,0,6,80,80,4,0,0,50
2017,3,8/18/2017,1,3,GJ,9,Low,10,F23,3,rock,exposed,300,1,0,0,10,200,200,12,0,0,150
2017,3,8/18/2017,1,3,GJ,9,Low,10,F29,3,rock,exposed,287,0.96,13,0.04,5,150,150,3,0,0,125
2017,3,8/18/2017,1,3,GJ,9,Low,10,F31,1,rock,exposed,300,1,0,0,2,70,70,1,0,0,100
2017,3,8/18/2017,1,3,GJ,10,High,8,F25,3,rock,exposed,300,1,0,0,6,100,100,9,0,0,50
2017,3,8/18/2017,1,3,GJ,10,High,8,_26 (no sex tag seen),3,rock,hidden,69,0.23,231,0.77,5,125,125,2,0,0,200
2017,3,8/18/2017,1,3,GJ,10,High,8,F30,3,rock,exposed,258,0.86,42,0.14,9,300,300,2,0,0,300
2017,3,8/18/2017,1,3,GJ,11,Low,12,M32,2,rock,exposed,250,0.83,50,0.17,14,400,400,6,0,0,200
2017,3,8/18/2017,1,3,GJ,11,Low,12,F30,5,on top of tol (5),exposed,23,0.08,277,0.92,6,180,180,3,1,0,200
2017,3,8/18/2017,1,3,GJ,11,Low,12,M28,1,rock,exposed,204,0.68,96,0.32,4,150,150,0,0,0,100
2017,3,8/18/2017,1,3,GJ,12,Medium,11,F32,1,rock,exposed,300,1,0,0,5,300,300,10,2,0,140
2017,3,8/18/2017,1,3,GJ,12,Medium,11,F24,4,rock,exposed,217,0.72,83,0.28,4,100,100,2,0,0,150
2017,3,8/18/2017,1,3,GJ,12,Medium,11,_30 (no sex tag seen),3,rock,exposed,83,0.28,217,0.72,8,300,300,1,0,1,140
2017,3,8/17/2017,1,2,GJ,13,Low,12,F28,5,rock,exposed,215,0.72,85,0.28,2,200,200,0,0,0,100
2017,3,8/17/2017,1,2,GJ,13,Low,12,F26,2,rock,exposed,300,1,0,0,2,20,20,0,0,0,20
2017,3,8/17/2017,1,2,GJ,13,Low,12,F28,5 and 1,rock ,exposed,300,1,0,0,2,20,20,0,0,0,20
2017,3,8/17/2017,1,2,GJ,14,High,9,F24,1,rock,exposed,219,0.73,81,0.27,6,300,300,0,2,0,200
2017,3,8/17/2017,1,2,GJ,14,High,9,F26,5,rock,hidden,160,0.53,140,0.47,4,150,150,0,1,0,150
2017,3,8/17/2017,1,2,GJ,14,High,9,F24,5,rock,exposed,43,0.14,257,0.86,4,150,150,0,1,0,150
2017,3,8/17/2017,1,2,GJ,15,Low,14,F22,3 and 4,rock,exposed,300,1,0,0,5,100,100,5,0,0,200
2017,3,8/17/2017,1,2,GJ,15,Low,14,M29,1,rock,exposed,300,1,0,0,2,120,120,2,0,1,200
2017,3,8/17/2017,1,2,GJ,15,Low,14,_33? (no tag seen),5,tol,hidden,0,0,300,1,1,10,10,0,0,0,20
2017,3,8/17/2017,1,2,GJ,16,Medium,14,F30,5,rock,exposed,135,0.45,165,0.55,6,150,150,4,0,1,125
2017,3,8/17/2017,1,2,GJ,16,Medium,14,F26,2 and 3,rock,exposed,209,0.7,91,0.3,3,300,300,1,3,0,250
2017,3,8/17/2017,1,2,GJ,16,Medium,14,F22,5,rock,exposed,42,0.14,258,0.86,1,20,20,0,0,0,30
2017,3,8/17/2017,1,2,GJ,17,High,12,F32,2,rock,exposed,194,0.65,106,0.35,6,200,200,2,0,1,100
2017,3,8/17/2017,1,2,GJ,17,High,12,M27,1,rock,exposed,229,0.76,71,0.24,6,120,120,1,0,0,200
2017,3,8/17/2017,1,2,GJ,17,High,12,F26,5,rock,exposed,123,0.41,177,0.59,3,30,30,0,0,0,40
2017,3,8/17/2017,1,2,GJ,18,Medium,17,M20,5 and 2,rock,hidden,84,0.28,216,0.72,2,50,50,3,0,0,50
2017,3,8/17/2017,1,2,GJ,18,Medium,17,M27,5,rock,exposed,300,1,0,0,0,20,20,2,2,0,50
2017,3,8/17/2017,1,2,GJ,18,Medium,17,F20,1,rock,exposed,44,0.15,256,0.85,2,60,60,0,1,0,50
2018,4,6/6/2018,1,6,GJ,1,Low,7,28,4,rock,hidden,273,0.91,27,0.09,14,100,100,8,1,0,800
2018,4,6/6/2018,1,6,LS,1,Low,3,NTS,3,rock,hidden,110,0.37,190,0.63,3,200,200,0,0,0,81
2018,4,6/6/2018,1,6,LS,1,Low,3,NTS,1.2,rock,exposed,286,0.95,14,0.05,4,160,160,16,0,0,80
2018,4,6/6/2018,1,6,GJ,1,Low,7,30,3,rock,exposed,285,0.95,15,0.05,9,30,30,11,0,0,400
2018,4,6/6/2018,1,6,GJ,1,Low,7,20,5,rock,hidden,24,0.08,276,0.92,4,15,15,7,0,0,20
2018,4,6/6/2018,1,6,LS,1,Low,3,28,1.2.5,rock,exposed,189,0.63,111,0.37,7,400,400,3,0,2,625
