year,trial,trial.duration.days,reef,treatment,initial.size,final.size,initial.sex,growth,final.sex,weight,gravid,Sex.change,Male,Female,Transitional,Immature,notes,"total recollections (out of 360 for T4 and T5 ,out of 400 for T6)",
2018,July,30,1,High,27,29,F,2,M,0.4,NA,1,1,0,0,0,109,0.302777778,"these are final numbers of male or female fish that I recollected from the reefs, not initial"
2018,July,30,1,High,30,30,F,0,F,0.5,0,0,0,1,0,0,,,
2018,July,30,1,High,34,34,M,0,M,0.65,NA,0,1,0,0,0,,,
2018,July,30,1,High,NA,21,NA,#VALUE!,F,0.18,0,NA,0,1,0,0,,,
2018,July,30,1,High,NA,16,NA,#VALUE!,I,NA,NA,NA,0,0,0,1,,,
2018,July,30,2,Low,22,27,F,5,F,0.36,0,0,0,1,0,0,,,
2018,July,30,2,Low,28,28,F,0,F,0.48,2,0,0,1,0,0,,,
2018,July,30,2,Low,33,36,M,3,M,0.76,NA,0,1,0,0,0,,,
2018,July,30,2,Low,30,31,F,1,F,0.53,0,0,0,1,0,0,,,
2018,July,30,2,Low,33,35,M,2,F,0.82,2,1,0,1,0,0,,,
2018,July,30,2,Low,29,31,F,2,M,0.57,NA,1,1,0,0,0,,,
2018,July,30,2,Low,25,26,F,1,T,0.32,NA,1,0,0,1,0,,,
2018,July,30,2,Low,27,29,F,2,F,0.43,0,0,0,1,0,0,,,
2018,July,30,2,Low,28,30,F,2,F,0.54,3,0,0,1,0,0,,,
2018,July,30,2,Low,30,32,F,2,F,0.49,0,0,0,1,0,0,,,
2018,July,30,3,Medium,23,27,F,4,F,0.38,1,0,0,1,0,0,,,
2018,July,30,3,Medium,28,29,F,1,F,0.48,0,0,0,1,0,0,,,
2018,July,30,3,Medium,22,26,F,4,F,0.33,0,0,0,1,0,0,,,
2018,July,30,3,Medium,34,36,M,2,M,0.91,NA,0,1,0,0,0,,,
2018,July,30,3,Medium,33,35,M,2,F,0.69,0,1,0,1,0,0,,,
2018,July,30,3,Medium,31,34,F,3,F,0.82,0,0,0,1,0,0,,,
2018,July,30,3,Medium,30,31,F,1,F,0.59,2,0,0,1,0,0,,,
2018,July,30,4,Low,NA,10,NA,#VALUE!,I,NA,NA,NA,0,0,0,1,,,
2018,July,30,4,Low,NA,23,NA,#VALUE!,I,0.23,NA,NA,0,0,0,1,,,
2018,July,30,4,Low,28,29,F,1,F,0.4,0,0,0,1,0,0,,,
2018,July,30,4,Low,26,29,F,3,F,0.38,0,0,0,1,0,0,,,
