Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,"close.on.reef(0-0.275m, 5)","just.outside.of.small.frame.or.on.top(0.276-0.45m, 4)","within.1m.of.cage.far.from.small.cage.at.cage.frame.for.lg.cage(0.46-1m, 3)","between.1and2m.of.cage(1.1-2m, 2)","beyond2m.of.cage(2.1m+, 1)",not.present(0),total.num.images.for.time.lapse,total.time.min,,minimum number of images = 650,6500,108.3333333,1.805555556
GCJ,2,14,Medium,9,540,45055,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,CAPR,,,0,0,,,,,,,578,96.33333333,,,,,
GCJ,2,17,High,2,120,34315,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,2,120,34315,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,2,120,34315,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,2,120,34315,PACL,1,5,1,5,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,3,180,34375,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,3,180,34375,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,3,180,34375,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,3,180,34375,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,4,240,34435,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,4,240,34435,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,4,240,34435,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,4,240,34435,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,5,300,34495,FHASE,1,2,1,2,,,,,,,,,,,,,
GCJ,2,17,High,5,300,34495,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,5,300,34495,MHASE,1,2,1,2,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,5,300,34495,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,5,300,44357,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,1,60,12860,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,1,60,12860,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,5,300,44357,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,1,60,12860,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,5,300,44357,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,1,60,12860,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,5,300,44357,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,CAPR,,,0,0,,,,,,,,,,,,,
