Trial,Date,Week,Day,Reef,Treatment,Density,den.max,den.changed,deployment.day
5,7/5/2018,1,1,8,Low,11,16,y,B
5,7/7/2018,1,3,8,Low,13,16,y,B
5,7/8/2018,1,4,8,Low,14,16,y,B
5,7/9/2018,1,5,8,Low,16,16,n,B
5,7/10/2018,1,6,8,Low,15,15,n,B
5,7/11/2018,1,6,8,Low,12,12,n,B
5,7/14/2018,2,10,8,Low,11,11,n,B
5,7/15/2018,2,11,8,Low,8,9,y,B
5,7/18/2018,3,14,8,Low,9,9,n,B
5,7/19/2018,3,15,8,Low,5,8,y,B
5,7/23/2018,3,19,8,Low,8,8,n,B
5,7/24/2018,3,20,8,Low,8,8,n,B
5,7/27/2018,4,22,8,Low,5,7,y,B
5,7/28/2018,4,23,8,Low,7,7,n,B
5,7/29/2018,4,24,8,Low,4,5,y,B
5,7/31/2018,4,26,8,Low,5,5,n,B
5,7/5/2018,1,1,9,High,14,14,n,B
5,7/7/2018,1,3,9,High,2,10,y,B
5,7/8/2018,1,4,9,High,10,10,n,B
5,7/9/2018,1,5,9,High,7,7,n,B
5,7/10/2018,1,6,9,High,7,7,n,B
5,7/11/2018,1,6,9,High,5,5,n,B
5,7/14/2018,2,10,9,High,1,3,y,B
5,7/15/2018,2,11,9,High,3,3,n,B
5,7/18/2018,3,14,9,High,3,3,n,B
5,7/19/2018,3,15,9,High,1,2,y,B
5,7/23/2018,3,19,9,High,2,2,n,B
5,7/24/2018,3,20,9,High,2,2,n,B
5,7/27/2018,4,22,9,High,2,2,n,B
5,7/28/2018,4,23,9,High,1,2,y,B
5,7/29/2018,4,24,9,High,1,2,y,B
5,7/31/2018,4,26,9,High,2,2,n,B
5,7/5/2018,1,1,10,Medium,16,16,n,B
5,7/7/2018,1,3,10,Medium,12,13,y,B
5,7/8/2018,1,4,10,Medium,13,13,n,B
5,7/9/2018,1,5,10,Medium,8,12,y,B
5,7/10/2018,1,6,10,Medium,12,12,n,B
5,7/11/2018,1,6,10,Medium,9,10,y,B
5,7/14/2018,2,10,10,Medium,7,10,y,B
5,7/15/2018,2,11,10,Medium,8,10,y,B
5,7/18/2018,3,14,10,Medium,10,10,n,B
5,7/19/2018,3,15,10,Medium,8,8,n,B
5,7/23/2018,3,19,10,Medium,4,6,y,B
5,7/24/2018,3,20,10,Medium,6,6,n,B
5,7/27/2018,4,22,10,Medium,6,6,n,B
5,7/28/2018,4,23,10,Medium,6,6,n,B
5,7/29/2018,4,24,10,Medium,5,5,n,B
5,7/31/2018,4,26,10,Medium,5,5,n,B
5,7/5/2018,1,1,11,Low,14,17,y,B
5,7/7/2018,1,3,11,Low,14,17,y,B
5,7/8/2018,1,4,11,Low,17,17,n,B
5,7/9/2018,1,5,11,Low,12,15,y,B
5,7/10/2018,1,6,11,Low,15,15,n,B
5,7/11/2018,1,6,11,Low,13,13,n,B
5,7/14/2018,2,10,11,Low,11,11,n,B
5,7/15/2018,2,11,11,Low,9,10,y,B
5,7/18/2018,3,14,11,Low,10,10,n,B
5,7/19/2018,3,15,11,Low,7,7,n,B
5,7/23/2018,3,19,11,Low,4,6,y,B
5,7/24/2018,3,20,11,Low,5,6,y,B
5,7/27/2018,4,22,11,Low,6,6,n,B
5,7/28/2018,4,23,11,Low,4,4,n,B
5,7/29/2018,4,24,11,Low,3,3,n,B
5,7/31/2018,4,26,11,Low,2,2,n,B
5,7/5/2018,1,1,12,High,15,16,y,B
5,7/7/2018,1,3,12,High,16,16,n,B
5,7/8/2018,1,4,12,High,13,13,n,B
5,7/9/2018,1,5,12,High,11,11,n,B
5,7/10/2018,1,6,12,High,8,8,n,B
5,7/11/2018,1,6,12,High,6,6,n,B
5,7/14/2018,2,10,12,High,4,4,n,B
5,7/15/2018,2,11,12,High,2,2,n,B
5,7/18/2018,3,14,12,High,2,2,n,B
