Year,Trial,Trial_duration_days,Trial_duration_week,Reef,Treatment,Treatment_power,T6_comparison,Egg_count_total,Egg_count_per_day,recollection_female,recollection_Male,recollection_male_and_female,biomass_female_gWW,biomass_male_gWW,total_biomass_gWW,egg_count_per_female_density_per_day,egg_count_per_female_biomass_per_day,egg_count_per_total_biomass_per_day,per_capita_female_biomass,mg,reproduction_per_capita_female_biomass_per_day_per_gram,Density,den.max,avg_den_24h,avg_den_max_seen,egg.week
2018,5,27,4,17,Low,no risk,NA,16509,611.4444444,4,1,5,1.81,0.77,2.58,152.8611111,337.8146102,236.9939707,0.4525,452.5,1351.258441,14,14,9.5,9.5,4128
2018,6,14,2,1,Low,no risk,Low,1723,123.0714286,1,0,1,0.32,0,0.32,123.0714286,384.5982143,384.5982143,0.32,320,384.5982144,8,8,4.5,4.5,862
2018,6,14,2,4,Low,no risk,Low,997,71.21428571,1,0,1,0.32,0,0.32,71.21428571,222.5446429,222.5446429,0.32,320,222.5446428,7,7,4,4,499
2018,6,14,2,9,Low,no risk,Low,3824,273.1428571,4,1,5,1.96,0.26,2.22,68.28571429,139.3586006,123.037323,0.49,490,557.4344022,11,11,8,8,1912
2018,6,14,2,13,Low,no risk,Low,844,60.28571429,3,0,3,1.12,0,1.12,20.0952381,53.82653061,53.82653061,0.373333333,373.333333,161.479592,8,8,5.5,5.5,422
2018,6,14,2,16,Low,no risk,Low,4080,291.4285714,3,0,3,0.9,0,0.9,97.14285714,323.8095238,323.8095238,0.3,300,971.4285713,9,9,6,6,2040
2017,1,14,2,2,Medium,risk,NA,1670,119.2857143,4,0,4,1.73,0,1.73,29.82142857,68.95127993,68.95127993,0.4325,432.5,275.8051198,9,9,6.5,6.5,835
2017,1,14,2,4,High,risk,NA,3054,218.1428571,8,0,8,3.46,0,3.46,27.26785714,63.04706854,63.04706854,0.4325,432.5,504.3765482,9,9,8.5,8.5,1527
2017,1,14,2,5,Medium,risk,NA,9800,700,7,0,7,3.59,0,3.59,100,194.9860724,194.9860724,0.512857143,512.857143,1364.902507,7,7,7,7,4900
2017,1,14,2,6,High,risk,NA,5097,364.0714286,5,0,5,1.73,0,1.73,72.81428571,210.4459125,210.4459125,0.346,346,1052.229562,13,13,9,9,2548.5
2017,1,14,2,7,Medium,risk,NA,7349,524.9285714,7,0,7,2.69,0,2.69,74.98979592,195.1407329,195.1407329,0.384285714,384.285714,1365.985131,9,9,8,8,3674.5
2017,1,14,2,9,High,risk,NA,2669,190.6428571,3,1,4,1.14,0.31,1.45,63.54761905,167.2305764,131.4778325,0.38,380,501.6917292,10,10,7,7,1334.5
